Dish Name,Category,Serving,Quantity,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
"Paneer, apple and pineapple salad",Main course,-,100g,95.08,8.35,3.88,5.07
RuBeveragesian salad,Main course,-,100g,114.83,6.5,4.26,7.84
Pasta salad,Main course,-,100g,190.36,12.7,4.15,13.92
Deviled egg,Main course,-,100g,98.56,2.23,4.97,7.72
Hawain salad,Main course,-,100g,175.23,14.35,4.27,11.37
Mixed pulse and vegetable salad,Main course,-,100g,83.12,13.96,4.74,0.84
Sprouted moong salad,Main course,-,100g,37.81,5.48,2.29,0.74
ToBeveragesed salad,Main course,-,100g,62.96,4.95,1.02,4.22
Mixed vegetable salad with curd sauce,Main course,-,100g,60.28,7.03,4.23,1.5
Potato salad (Aloo ka salaad),Main course,-,100g,89.91,11.19,1.4,4.4
Waldroff salad,Main course,-,100g,141.75,11.02,1.47,10.05
Coleslaw,Main course,-,100g,76.71,5.59,1.24,5.32
Fruit salad (Phalon ka salaad),Sweets,-,100g,78.14,15.96,0.91,1.22
Tomato onion raita (Tamatar aur pyaaz ka raita),Other,-,100g,59,7.08,3.74,1.84
Peanut raita (Mungfali ka raita),Other,-,100g,150.39,9.3,8.59,8.98
Sprouted moong raita,Other,-,100g,60.89,6.13,4.62,2.19
Bottle gourd raita (Ghiya/Lauki ka raita),Other,-,100g,56.31,5.76,3.98,2.07
Cucumber raita (Kheere ka raita),Other,-,100g,59.13,6.35,4.04,2.08
Carrot and spinach raita (Gajar aur palak ka raita),Other,-,100g,56.83,5.83,4,1.99
Mint raita (Pudinay ka raita),Other,-,100g,77.59,7.65,5.64,2.96
Potato raita (Aloo ka raita),Other,-,100g,75.38,10.24,4.22,2.04
Boondi raita,Other,-,100g,687.72,3.96,2.19,73.83
Sweet raita (Meetha raita),Other,-,100g,99.24,17.93,3.24,1.78
Dahi vadas/Dahi bhalla,Other,-,100g,667.73,5.49,2.96,70.4
Gunjia,Other,-,100g,667.34,5.68,2.98,70.28
Saunth/Sonth chutney with tamarind/imli,Other,-,100g,141.53,33.55,1.01,0.15
Rice kheer (Chawal ki kheer),Sweets,-,100g,75.03,10.05,2.3,2.97
Makhana kheer,Sweets,-,100g,107.85,12.88,3.31,5
Vermicelli kheer (Semiya/Seviyan ki kheer),Sweets,-,100g,120.07,15.87,3.35,5
Semolina kheer (Suji/Rava kheer),Sweets,-,100g,113.21,15.88,3.43,4.2
Paneer kheer,Sweets,-,100g,105.31,10.03,4.53,5.37
Cabbage kheer (Pattagobhi ki kheer),Sweets,-,100g,83.51,9.73,2.87,3.8
Carrot kheer (Gajar ki kheer),Sweets,-,100g,85.35,10.09,2.81,3.85
Cauliflower kheer (Phoolgobhi ki kheer),Sweets,-,100g,81.95,8.78,3.04,3.95
Moong dal kheer,Sweets,-,100g,77.16,9.89,2.95,2.97
Phirni,Sweets,-,100g,116.12,16.11,3.49,4.34
Semolina halwa (Suji ka halwa),Sweets,-,100g,225.65,24.67,2.16,13.38
Shahi suji halwa,Sweets,-,100g,382.34,44.44,3.48,21.73
Carrot halwa (Gajar ka halwa),Sweets,-,100g,172.64,18.53,3.11,9.73
Egg halwa (Ande ka halwa),Sweets,-,100g,299.74,39.59,7.85,13.41
Potato halwa (Aloo ka halwa),Sweets,-,100g,151.66,29.18,1.53,3.48
Pumpkin halwa (Kaddu ka halwa),Sweets,-,100g,190.27,27.6,1.33,8.81
Moong dal halwa,Sweets,-,100g,349.8,40.23,8.35,17.68
